date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:54:33	74667/74667	---M--	200	added ('OK')	application/pdf	etag:%22123ab-477a3190064bb%22	https://www.newmystics.com/documents/AmandaSaile-Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/AmandaSaile-Poems.pdf	(from https://www.newmystics.com/lit/AmandaSaile.html)
04:54:34	163845/163845	---M--	200	added ('OK')	image/jpeg	etag:%2228005-4d5efa30462a8%22	https://www.newmystics.com/images/JoSalmon.JPG	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/JoSalmon.jpg	(from https://www.newmystics.com/lit/JoSalmon.html)
04:54:34	38174/38174	---M--	200	added ('OK')	application/pdf	etag:%22951e-579dc77fd3dc7%22	https://www.newmystics.com/documents/JoSalmon-Poems2.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/JoSalmon-Poems2.pdf	(from https://www.newmystics.com/lit/JoSalmon.html)
04:54:34	41006/41006	---M--	200	added ('OK')	application/pdf	etag:%22a02e-572144c435544%22	https://www.newmystics.com/documents/JoSalmon-MorePoems2.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/JoSalmon-MorePoems2.pdf	(from https://www.newmystics.com/lit/JoSalmon.html)
04:54:34	56291/56291	---M--	200	added ('OK')	application/pdf	etag:%22dbe3-56d240c8e6692%22	https://www.newmystics.com/documents/JoSalmon-IDo.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/JoSalmon-IDo.pdf	(from https://www.newmystics.com/lit/JoSalmon.html)
04:54:34	48737/48737	---M--	200	added ('OK')	application/pdf	etag:%22be61-567da11a3e66a%22	https://www.newmystics.com/documents/JoSalmon-5Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/JoSalmon-5Poems.pdf	(from https://www.newmystics.com/lit/JoSalmon.html)
04:54:35	39002/39002	---M--	200	added ('OK')	application/pdf	etag:%22985a-5651acb5cd591%22	https://www.newmystics.com/documents/JoSalmon-MAZEMARKET.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/JoSalmon-MAZEMARKET.pdf	(from https://www.newmystics.com/lit/JoSalmon.html)
04:54:35	46881/46881	---M--	200	added ('OK')	application/pdf	etag:%22b721-5611949a4d410%22	https://www.newmystics.com/documents/JoSalmon-MorePoems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/JoSalmon-MorePoems.pdf	(from https://www.newmystics.com/lit/JoSalmon.html)
04:54:35	76477/76477	---M--	200	added ('OK')	application/pdf	etag:%2212abd-4ddf5b45af08e%22	https://www.newmystics.com/documents/JoSalmon-ThreeShortPieces.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/JoSalmon-ThreeShortPieces.pdf	(from https://www.newmystics.com/lit/JoSalmon.html)
04:54:35	90409/90409	---M--	200	added ('OK')	application/pdf	etag:%2216129-4d8d5a3ab6eed%22	https://www.newmystics.com/documents/JoSalmon-FourShortPieces.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/JoSalmon-FourShortPieces.pdf	(from https://www.newmystics.com/lit/JoSalmon.html)
04:54:35	81808/81808	---M--	200	added ('OK')	application/pdf	etag:%2213f90-4d5efa25c4912%22	https://www.newmystics.com/documents/JoSalmon-ThreeShortWorks.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/JoSalmon-ThreeShortWorks.pdf	(from https://www.newmystics.com/lit/JoSalmon.html)
04:54:36	40053/40053	---M--	200	added ('OK')	application/pdf	etag:%229c75-55a81cebeb90f%22	https://www.newmystics.com/documents/JoSalmon-Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/JoSalmon-Poems.pdf	(from https://www.newmystics.com/lit/JoSalmon.html)
04:54:36	14248/14248	---M--	200	added ('OK')	image/jpeg	etag:%2237a8-4d5efd91146d4%22	https://www.newmystics.com/images/BobSatterfield.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/BobSatterfield.jpg	(from https://www.newmystics.com/lit/BobSatterfield.html)
04:54:36	85056/85056	---M--	200	added ('OK')	application/pdf	etag:%2214c40-4d5efd9a28766%22	https://www.newmystics.com/documents/BobSatterfield-PoesDoorway.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/BobSatterfield-PoesDoorway.pdf	(from https://www.newmystics.com/lit/BobSatterfield.html)
04:54:36	15372/15372	---M--	200	added ('OK')	image/jpeg	etag:%223c0c-552bb5c8efac7%22	https://www.newmystics.com/images/SanjeevSethi.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/SanjeevSethi.jpg	(from https://www.newmystics.com/lit/SanjeevSethi.html)
04:54:37	79020/79020	---M--	200	added ('OK')	application/pdf	etag:%22134ac-552bb5ea8e00d%22	https://www.newmystics.com/documents/SanjeevSethi-Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/SanjeevSethi-Poems.pdf	(from https://www.newmystics.com/lit/SanjeevSethi.html)
04:54:37	4037/4037	---M--	200	added ('OK')	image/jpeg	etag:%22fc5-4805822662e42%22	https://www.newmystics.com/images/MelissaSillitoe.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/MelissaSillitoe.jpg	(from https://www.newmystics.com/lit/MelissaSillitoe.html)
04:54:38	156815/156815	---M--	200	added ('OK')	application/pdf	etag:%222648f-480581efd71d7%22	https://www.newmystics.com/documents/MelissaSillitoe-YourEyesFirst.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/MelissaSillitoe-YourEyesFirst.pdf	(from https://www.newmystics.com/lit/MelissaSillitoe.html)
04:54:38	65404/65404	---M--	200	added ('OK')	image/jpeg	etag:%22ff7c-477a314142482%22	https://www.newmystics.com/images/COSmith-Alecto2008_OPT.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/COSmith-Alecto2008_OPT.jpg	(from https://www.newmystics.com/lit/COSmith.html)
